agency,year,budget
Legislative Branch,1976,310
Legislative Branch,1977,1057216
Legislative Branch,1978,1086618
Legislative Branch,1979,1131004
Legislative Branch,1980,1317867
Legislative Branch,1981,1251369
Legislative Branch,1982,1414142
Legislative Branch,1983,1686747
Legislative Branch,1984,1768313
Legislative Branch,1985,1702558
Legislative Branch,1986,1719875
Legislative Branch,1987,1873105
Legislative Branch,1988,2123130
Legislative Branch,1989,2249933
Legislative Branch,1990,2248066
Legislative Branch,1991,2493025
Legislative Branch,1992,2632298
Legislative Branch,1993,2621283
Legislative Branch,1994,2612064
Legislative Branch,1995,2682000
Legislative Branch,1996,2454000
Legislative Branch,1997,2541000
Legislative Branch,1998,2627000
Legislative Branch,1999,2943000
Legislative Branch,2000,2800000
Legislative Branch,2001,3149000
Legislative Branch,2002,3613000
Legislative Branch,2003,3830000
Legislative Branch,2004,3937000
Legislative Branch,2005,4036000
Legislative Branch,2006,4219000
Legislative Branch,2007,4286000
Legislative Branch,2008,4447000
Legislative Branch,2009,4977000
Legislative Branch,2010,4893000
Legislative Branch,2011,4737000
Legislative Branch,2012,4542000
Legislative Branch,2013,4258000
Legislative Branch,2014,4462000
Legislative Branch,2015,4513000
Legislative Branch,2016,4815000
Legislative Branch,2017,4928000
Legislative Branch,2018,5025000
Legislative Branch,2019,5082000
Legislative Branch,2020,5133000
Judicial Branch,1976,853
Judicial Branch,1977,431149
Judicial Branch,1978,459168
Judicial Branch,1979,521374
Judicial Branch,1980,608924
Judicial Branch,1981,655993
Judicial Branch,1982,733473
Judicial Branch,1983,822519
Judicial Branch,1984,904067
Judicial Branch,1985,1054691
Judicial Branch,1986,1045239
Judicial Branch,1987,1273133
Judicial Branch,1988,1343581
Judicial Branch,1989,1480851
Judicial Branch,1990,1752108
Judicial Branch,1991,2118278
Judicial Branch,1992,2445223
Judicial Branch,1993,2613470
Judicial Branch,1994,2831822
Judicial Branch,1995,2998000
Judicial Branch,1996,3174000
Judicial Branch,1997,3386000
Judicial Branch,1998,3543000
Judicial Branch,1999,3807000
Judicial Branch,2000,4067000
Judicial Branch,2001,4459000
Judicial Branch,2002,4970000
Judicial Branch,2003,5168000
Judicial Branch,2004,5440000
Judicial Branch,2005,5726000
Judicial Branch,2006,5993000
Judicial Branch,2007,6180000
Judicial Branch,2008,6518000
Judicial Branch,2009,6787000
Judicial Branch,2010,7214000
Judicial Branch,2011,7205000
Judicial Branch,2012,7240000
Judicial Branch,2013,6926000
Judicial Branch,2014,7284000
Judicial Branch,2015,7473000
Judicial Branch,2016,7755000
Judicial Branch,2017,7913000
Judicial Branch,2018,8098000
Judicial Branch,2019,8238000
Judicial Branch,2020,8352000
Department of Agriculture,1976,2183
Department of Agriculture,1977,21841042
Department of Agriculture,1978,26659311
Department of Agriculture,1979,37249518
Department of Agriculture,1980,39558639
Department of Agriculture,1981,47409847
Department of Agriculture,1982,57399893
Department of Agriculture,1983,69830501
Department of Agriculture,1984,46734231
Department of Agriculture,1985,61823282
Department of Agriculture,1986,59153924
Department of Agriculture,1987,52421085
Department of Agriculture,1988,55133839
Department of Agriculture,1989,55627292
Department of Agriculture,1990,55214488
Department of Agriculture,1991,59956997
Department of Agriculture,1992,66170230
Department of Agriculture,1993,67729546
Department of Agriculture,1994,65457829
Department of Agriculture,1995,58437000
Department of Agriculture,1996,58592000
Department of Agriculture,1997,60727000
Department of Agriculture,1998,58134000
Department of Agriculture,1999,67560000
Department of Agriculture,2000,75162000
Department of Agriculture,2001,73082000
Department of Agriculture,2002,71209000
Department of Agriculture,2003,78750000
Department of Agriculture,2004,93037000
Department of Agriculture,2005,95023000
Department of Agriculture,2006,97339000
