word,date,matches,freq
#,1701,156,0.000125225
#,1702,38,3.35E-05
#,1703,101,5.79E-05
#,1704,38,5.18E-05
#,1705,99,6.08E-05
#,1706,36,3.99E-05
#,1707,45,4.34E-05
#,1708,35,2.87E-05
#,1709,23,6.96E-05
#,1710,66,3.99E-05
#,1711,55,3.73E-05
#,1712,20,5.88E-05
#,1713,47,5.48E-05
#,1714,54,2.89E-05
#,1715,62,5.12E-05
#,1716,33,4.26E-05
#,1717,40,3.27E-05
#,1718,88,5.78E-05
#,1719,55,2.87E-05
#,1720,145,7.18E-05
#,1721,54,3.37E-05
#,1722,69,4.67E-05
#,1723,58,4.18E-05
#,1724,50,2.86E-05
#,1725,70,3.29E-05
#,1726,66,1.92E-05
#,1727,134,3.16E-05
#,1728,90,2.51E-05
#,1729,76,1.86E-05
#,1730,146,3.74E-05
#,1731,169,3.86E-05
#,1732,58,1.53E-05
#,1733,37,2.67E-05
#,1734,69,2.37E-05
#,1735,63,2.15E-05
#,1736,43,2.28E-05
#,1737,112,4.26E-05
#,1738,83,2.54E-05
#,1739,294,3.98E-05
#,1740,60,1.77E-05
#,1741,32,1.25E-05
#,1742,154,3.93E-05
#,1743,110,2.64E-05
#,1744,71,1.44E-05
#,1745,79,1.86E-05
#,1746,25,1.13E-05
#,1747,488,3.76E-05
#,1748,61,1.37E-05
#,1749,162,2.70E-05
#,1750,114,1.35E-05
#,1751,134,2.04E-05
#,1752,52,9.60E-06
#,1753,111,1.29E-05
#,1754,171,1.87E-05
#,1755,125,1.40E-05
#,1756,61,1.76E-05
#,1757,88,1.08E-05
#,1758,88,1.09E-05
#,1759,159,1.54E-05
#,1760,123,1.69E-05
#,1761,80,1.61E-05
#,1762,43,1.15E-05
#,1763,57,1.09E-05
#,1764,90,1.51E-05
#,1765,90,1.81E-05
#,1766,124,1.31E-05
#,1767,101,1.11E-05
#,1768,215,1.78E-05
#,1769,103,1.18E-05
#,1770,149,1.26E-05
#,1771,92,9.49E-06
#,1772,164,1.73E-05
#,1773,104,1.23E-05
#,1774,92,9.81E-06
#,1775,93,1.00E-05
#,1776,107,1.00E-05
#,1777,180,1.47E-05
#,1778,87,1.11E-05
#,1779,110,1.18E-05
#,1780,165,1.76E-05
#,1781,91,9.71E-06
#,1782,130,1.47E-05
