name,invariant,level,match,target
Exp1/hough,t,2,76,0
Exp1/hough,t,1,76,0
Exp1/hough,v,2,75,0
Exp1/hough,t,1,75,0
Exp1/hough,v,0,75,0
Exp1/hough,t,0,75,0
Exp1/hough,t,2,75,0
Exp1/hough,t,0,74,0
Exp1/hough,v,1,74,0
Exp1/hough,n1,0,67,0
Exp1/hough,n1,1,63,0
Exp1/hough,w,1,60,0
Exp1/hough,w,2,55,0
Exp1/hough,w,0,52,0
Exp1/hough,w,1,52,0
Exp1/hough,n1,2,51,0
Exp1/hough,w,0,50,0
Exp1/hough,n2,0,48,0
Exp1/hough,st,0,47,0
Exp1/hough,w,2,44,0
Exp1/hough,a,0,40,0
Exp1/hough,n2,1,29,0
Exp1/hough,st,1,27,0
Exp1/hough,n2,2,27,0
Exp1/hough,s,0,24,0
Exp1/hough,a,1,23,0
Exp1/hough,s,2,23,0
Exp1/hough,st,2,22,0
Exp1/hough,a,2,20,0
Exp1/hough,i,1,19,0
Exp1/hough,s,1,17,0
Exp1/hough,t,0,79,1
Exp1/hough,t,2,79,1
Exp1/hough,t,1,79,1
Exp1/hough,t,1,79,1
Exp1/hough,v,2,78,1
Exp1/hough,v,0,78,1
Exp1/hough,t,0,78,1
Exp1/hough,v,1,78,1
Exp1/hough,t,2,76,1
Exp1/hough,n1,0,70,1
Exp1/hough,w,1,66,1
Exp1/hough,n1,1,62,1
Exp1/hough,w,2,56,1
Exp1/hough,w,0,55,1
Exp1/hough,w,2,51,1
Exp1/hough,n1,2,48,1
Exp1/hough,w,1,48,1
Exp1/hough,w,0,44,1
Exp1/hough,st,0,43,1
Exp1/hough,a,0,37,1
Exp1/hough,n2,0,37,1
Exp1/hough,st,2,28,1
Exp1/hough,n2,1,27,1
Exp1/hough,s,2,27,1
Exp1/hough,a,1,27,1
Exp1/hough,s,0,26,1
Exp1/hough,s,1,25,1
Exp1/hough,i,1,25,1
Exp1/hough,n2,2,24,1
Exp1/hough,a,2,24,1
Exp1/hough,st,1,23,1
Exp1/hough,t,1,50,2
Exp1/hough,t,0,49,2
Exp1/hough,t,0,49,2
Exp1/hough,t,2,46,2
Exp1/hough,t,1,45,2
Exp1/hough,v,0,38,2
Exp1/hough,n1,1,37,2
Exp1/hough,t,2,37,2
Exp1/hough,n1,0,37,2
Exp1/hough,v,1,32,2
Exp1/hough,w,1,32,2
Exp1/hough,v,2,31,2
Exp1/hough,n2,0,29,2
Exp1/hough,w,2,26,2
Exp1/hough,n1,2,25,2
Exp1/hough,i,1,25,2
Exp1/hough,w,0,25,2
Exp1/hough,w,2,25,2
Exp1/hough,n2,1,24,2
Exp1/hough,w,0,24,2
Exp1/hough,st,0,23,2
Exp1/hough,w,1,23,2
Exp1/hough,a,0,21,2
Exp1/hough,n2,2,18,2
Exp1/hough,st,1,18,2
Exp1/hough,s,1,16,2
Exp1/hough,st,2,16,2
Exp1/hough,a,2,16,2
Exp1/hough,s,0,16,2
Exp1/hough,s,2,15,2
Exp1/hough,a,1,15,2
Exp1/hough,v,1,76,3
Exp1/hough,v,0,70,3
Exp1/hough,v,2,49,3
Exp1/hough,w,1,49,3
Exp1/hough,w,1,47,3
