name,invariant,level,match,target,id
Exp1/Exp1data,t,0,3,6,1
Exp1/Exp1data,n1,2,3,6,1
Exp1/Exp1data,st,1,5,5,1
Exp1/Exp1data,a,0,5,5,1
Exp1/Exp1data,w,0,6,2,1
Exp1/Exp1data,st,0,6,6,1
Exp1/Exp1data,n2,0,6,3,1
Exp1/Exp1data,w,0,6,4,1
Exp1/Exp1data,a,0,6,1,1
Exp1/Exp1data,v,1,6,4,1
Exp1/Exp1data,v,0,3,5,1
Exp1/Exp1data,n1,0,4,2,1
Exp1/Exp1data,w,2,4,0,1
Exp1/Exp1data,n1,0,5,4,1
Exp1/Exp1data,t,0,4,1,1
Exp1/Exp1data,v,1,5,5,1
Exp1/Exp1data,w,1,3,1,1
Exp1/Exp1data,t,1,7,5,2
Exp1/Exp1data,v,1,7,4,2
Exp1/Exp1data,st,1,2,5,2
Exp1/Exp1data,t,0,7,0,2
Exp1/Exp1data,i,1,1,0,2
Exp1/Exp1data,n1,0,1,5,2
Exp1/Exp1data,w,1,1,5,2
Exp1/Exp1data,a,2,1,1,2
Exp1/Exp1data,n1,0,3,0,2
Exp1/Exp1data,n2,2,2,0,2
Exp1/Exp1data,w,2,4,1,2
Exp1/Exp1data,i,1,1,6,2
Exp1/Exp1data,w,1,3,1,2
Exp1/Exp1data,i,1,1,0,3
Exp1/Exp1data,v,2,7,2,3
Exp1/Exp1data,n2,1,5,6,3
Exp1/Exp1data,w,1,5,2,3
Exp1/Exp1data,w,0,4,5,3
Exp1/Exp1data,n2,1,7,5,3
Exp1/Exp1data,v,2,7,3,3
Exp1/Exp1data,n2,0,7,5,3
Exp1/Exp1data,v,2,6,0,4
Exp1/Exp1data,a,1,3,3,4
Exp1/Exp1data,v,0,5,0,4
Exp1/Exp1data,t,2,7,0,4
Exp1/Exp1data,st,1,5,5,4
Exp1/Exp1data,n2,2,2,1,4
Exp1/Exp1data,t,0,7,0,4
Exp1/Exp1data,t,0,7,0,4
Exp1/Exp1data,w,1,4,1,4
Exp1/Exp1data,s,0,1,3,4
Exp1/Exp1data,a,0,5,3,4
Exp1/Exp1data,a,2,1,1,4
Exp1/Exp1data,t,1,2,6,4
Exp1/Exp1data,v,0,3,3,4
Exp1/Exp1data,s,0,6,0,5
Exp1/Exp1data,a,0,1,2,5
Exp1/Exp1data,w,2,4,2,5
Exp1/Exp1data,n1,2,3,5,6
Exp1/Exp1data,n2,1,4,0,6
Exp1/Exp1data,v,0,4,3,6
Exp1/Exp1data,v,2,3,1,6
Exp1/Exp1data,s,1,4,4,6
Exp1/Exp1data,n2,0,6,4,6
Exp1/Exp1data,t,2,5,2,6
Exp1/Exp1data,i,1,5,5,6
Exp1/Exp1data,w,1,3,3,6
Exp1/Exp1data,a,1,3,1,6
Exp1/Exp1data,n1,2,4,3,6
Exp1/Exp1data,t,1,3,3,6
Exp1/Exp1data,n2,1,6,5,6
Exp1/Exp1data,st,0,5,5,6
Exp1/Exp1data,v,0,3,3,6
Exp1/Exp1data,n1,0,3,2,6
Exp1/Exp1data,a,1,6,4,6
Exp1/Exp1data,t,1,5,2,6
Exp1/Exp1data,w,2,3,3,6
Exp1/Exp1data,t,1,3,4,6
Exp1/Exp1data,a,2,4,4,6
Exp1/Exp1data,s,0,3,5,6
Exp1/Exp1data,n1,1,3,4,6
Exp1/Exp1data,w,2,4,0,6
Exp1/Exp1data,v,0,3,6,6
Exp1/Exp1data,n1,0,4,1,6
Exp1/Exp1data,a,1,5,4,6
Exp1/Exp1data,a,0,3,2,6
Exp1/Exp1data,n1,1,3,6,7
Exp1/Exp1data,w,2,3,0,7
Exp1/Exp1data,s,1,5,4,7
Exp1/Exp1data,a,1,5,0,7
Exp1/Exp1data,s,2,5,4,7
Exp1/Exp1data,t,1,7,3,7
Exp1/Exp1data,v,1,6,0,7
Exp1/Exp1data,n2,0,6,4,7
Exp1/Exp1data,v,2,7,2,7
Exp1/Exp1data,st,0,5,0,7
Exp1/Exp1data,t,2,1,3,7
Exp1/Exp1data,n2,0,6,1,7
Exp1/Exp1data,t,0,4,5,7
Exp1/Exp1data,v,0,6,2,7
Exp1/Exp1data,n1,0,5,5,7
Exp1/Exp1data,w,2,5,2,7
Exp1/Exp1data,i,1,2,6,7
Exp1/Exp1data,n1,2,5,6,9
Exp1/Exp1data,t,0,6,1,9
Exp1/Exp1data,n1,2,2,6,10
Exp1/Exp1data,t,1,6,6,10
Exp1/Exp1data,v,1,3,6,10
Exp1/Exp1data,st,0,4,6,10
Exp1/Exp1data,n2,2,3,3,10
Exp1/Exp1data,n2,2,5,0,11
Exp1/Exp1data,t,1,3,3,11
Exp1/Exp1data,s,1,6,0,12
Exp1/Exp1data,a,1,4,1,12
Exp1/Exp1data,a,1,5,1,12
Exp1/Exp1data,w,2,5,3,12
Exp1/Exp1data,v,2,7,4,12
Exp1/Exp1data,n1,2,1,4,12
Exp1/Exp1data,n2,2,7,4,12
Exp1/Exp1data,st,0,7,1,12
Exp1/Exp1data,t,0,2,5,12
Exp1/Exp1data,w,1,1,5,13
Exp1/Exp1data,n2,2,6,5,13
Exp1/Exp1data,v,1,7,2,13
Exp1/Exp1data,t,0,4,5,13
Exp1/Exp1data,s,2,5,1,13
Exp1/Exp1data,w,1,3,1,13
Exp1/Exp1data,v,1,6,6,13
Exp1/Exp1data,w,1,2,6,13
Exp1/Exp1data,i,1,2,2,13
Exp1/Exp1data,a,1,3,6,14
Exp1/Exp1data,st,0,4,6,14
Exp1/Exp1data,n2,1,4,0,15
Exp1/Exp1data,i,1,5,5,17
Exp1/Exp1data,a,1,6,2,18
Exp1/Exp1data,i,1,6,4,18
Exp1/Exp1data,n1,0,2,6,18
Exp1/Exp1data,v,1,5,5,18
Exp1/Exp1data,n2,1,5,4,18
Exp1/Exp1data,n2,1,5,3,18
Exp1/Exp1data,w,0,6,5,18
Exp1/Exp1data,n2,0,6,1,18
Exp1/Exp1data,a,0,7,0,19
Exp1/Exp1data,a,1,5,2,19
Exp1/Exp1data,v,2,7,2,19
Exp1/Exp1data,n2,0,5,0,19
Exp1/Exp1data,w,2,6,3,19
Exp1/Exp1data,n2,1,5,5,19
Exp1/Exp1data,w,2,4,5,19
Exp1/Exp1data,i,1,2,6,19
Exp1/Exp1data,a,1,3,5,20
Exp1/Exp1data,i,1,2,0,21
Exp1/Exp1data,n1,0,5,5,21
Exp1/Exp1data,n2,0,7,1,21
Exp1/Exp1data,n1,2,2,3,21
Exp1/Exp1data,w,0,6,0,21
Exp1/Exp1data,a,0,6,6,21
Exp1/Exp1data,i,1,1,6,21
Exp1/Exp1data,a,0,6,1,21
Exp1/Exp1data,t,1,7,1,21
Exp1/Exp1data,v,0,5,4,21
Exp1/Exp1data,t,0,4,3,21
Exp1/Exp1data,w,0,5,6,21
Exp1/Exp1data,st,0,5,6,21
Exp1/Exp1data,a,2,3,6,21
Exp1/Exp1data,t,1,7,1,21
Exp1/Exp1data,n1,0,2,3,21
Exp1/Exp1data,n1,1,6,4,21
Exp1/Exp1data,st,0,4,5,21
Exp1/Exp1data,t,0,4,3,21
Exp1/Exp1data,a,0,3,1,21
Exp1/Exp1data,w,0,7,5,21
Exp1/Exp1data,v,2,6,6,21
Exp1/Exp1data,n2,1,5,2,21
Exp1/Exp1data,a,1,3,1,21
Exp1/Exp1data,t,1,3,3,22
Exp1/Exp1data,v,2,6,4,22
Exp1/Exp1data,a,0,5,1,22
Exp1/Exp1data,st,0,4,0,22
Exp1/Exp1data,s,1,3,6,23
Exp1/Exp1data,a,1,3,6,23
Exp1/Exp1data,n2,2,3,0,23
Exp1/Exp1data,n1,1,3,6,23
Exp1/Exp1data,n2,1,4,3,23
Exp1/Exp1data,t,2,5,1,23
Exp1/Exp1data,s,1,4,6,23
Exp1/Exp1data,v,2,5,3,23
Exp1/Exp1data,a,0,5,2,23
Exp1/Exp1data,n1,2,2,2,23
Exp1/Exp1data,i,1,3,5,23
Exp1/Exp1data,w,2,4,4,23
Exp1/Exp1data,i,1,1,6,24
Exp1/Exp1data,s,0,6,3,24
Exp1/Exp1data,w,0,7,1,24
Exp1/Exp1data,w,1,6,2,24
Exp1/Exp1data,v,1,7,1,24
Exp1/Exp1data,t,0,7,3,24
Exp1/Exp1data,n2,1,6,5,24
Exp1/Exp1data,a,0,6,5,24
Exp1/Exp1data,n1,1,5,0,24
Exp1/Exp1data,n1,1,1,6,24
